Embeding,Label,Label_int
"[  6.20767191  -0.6951572  -25.24118132  -8.28051111 -12.22675244
  31.19955379  -0.45886923 -18.70770129   2.51836829 -10.61726963
   8.9706133  -15.82185865  13.65453869  15.772467     0.45246987
 -21.69085571 -16.59557249 -20.74737164   4.53614633   1.73188341
 -19.34961954  -5.6014388   -4.99308738  -9.71520186   4.75575427
  -3.09601055  15.7944644  -12.30620478   1.09677169 -13.58131575
  13.89570727 -10.66073349 -15.71249624  -4.53485599   7.16681646
  20.03076319   0.50113705   7.08145154 -14.51950738  -4.99581769
   7.96575211  -1.9828645  -10.55225672 -17.67012561  16.24513819
  12.51718144  13.72908854 -17.32577967 -16.01069877 -12.79489366
  -0.40962939   7.18206328   7.03517902  -8.43261978  -6.69789828
  -5.42665989  -1.55691074   7.74080526   8.5717948   -0.46398591
 -19.72120747   8.25707038   6.12434321  -8.20563812   4.27827379
  19.76271863 -23.15158934   7.80015515  22.94006262 -10.02788221
   8.09517974   9.93217883  14.74736159 -17.10049308   0.72399479
  12.98159685  -6.34908037   1.52174424 -14.37383435  -8.90979682
 -25.59166509   0.61709087  -0.65949054 -10.81890883   0.41919973
  -8.30662017 -12.84267084  -5.70777135  34.46844303   3.4418004
  -2.7465764  -19.4399477   21.86436164  -5.36747091  -0.625142
   9.12879299 -13.86141037  -0.46540875 -39.18368375  -1.48091473
  -7.16140109  -5.13683582   9.58502409   6.69791764  14.456397
  -2.34536044   7.74042173  -5.6189169   -5.1760717   -5.44707684
  -2.32374412   1.04016991   1.27662155   8.26851455   8.1673088
  10.15928742  -4.40393791  14.03672085  -8.99120805   0.90678613
  -6.90994618  -7.22607873   7.51149759 -24.3501082   -4.64532485
  15.613283    -1.7653993  -18.61691532]",ПАВЛЕНКОВА_НАТАЛЬЯ_НИКОЛАЕВНА,41
"[ 1.38262392e+01 -2.72597204e+00 -2.17007032e+01 -1.29150342e+01
 -1.24769334e+01  2.60882909e+01 -1.95095489e+00 -1.81035817e+01
  4.41401218e+00 -6.61927846e+00  1.03621701e+01 -1.08665611e+01
  1.27844826e+01  1.16641728e+01  4.79845175e+00 -2.09470837e+01
 -2.19592020e+01 -2.06827522e+01 -2.25436908e+00 -2.96274069e+00
 -1.73929370e+01 -9.10476558e+00 -3.31268650e+00 -2.57646520e+00
  6.02984302e+00 -7.23122451e-01  1.54026958e+01 -7.44861940e+00
  5.15373155e+00 -1.17433711e+01  1.21193437e+01 -4.93310770e+00
 -2.15727187e+01 -5.12708163e+00  1.36314627e+00  1.83419456e+01
 -4.25548072e+00  4.45814186e+00 -2.07141519e+01 -3.18379065e-01
  4.62218093e+00 -4.93474409e+00 -2.94449131e+00 -2.10000193e+01
  9.16813659e+00  1.71695369e+01  1.06531688e+01 -2.34415694e+01
 -1.91785224e+01 -1.47075561e+01  2.54379829e+00  1.51579997e+01
  7.48792519e+00 -9.72109287e+00  6.81423201e-01 -1.79730179e+00
  3.89143687e+00  4.37087997e+00  6.11143200e+00 -1.25996887e-02
 -2.38835438e+01  1.00744770e+01  6.18849232e-02 -6.16066266e+00
  8.43822275e+00  1.98181672e+01 -2.67641209e+01  3.34991532e+00
  2.36629856e+01 -4.44502941e+00  4.56915590e+00  5.88958141e+00
  1.33068832e+01 -9.59255756e+00  4.20733099e+00  1.96435119e+01
 -5.84494064e+00  6.04184011e+00 -1.22124267e+01 -1.17843213e+01
 -2.37664867e+01  1.13858794e+00 -9.05082867e-01 -1.13131897e+01
 -2.21544186e+00 -4.68441687e+00 -1.58078528e+01 -4.04311383e+00
  3.27240658e+01  1.10571702e+00 -1.43350134e+00 -1.35961088e+01
  2.24960346e+01 -6.65640637e-01 -2.76131232e+00  1.02796934e+01
 -1.45707411e+01 -1.44775019e+00 -3.72489396e+01 -1.08049946e+01
 -1.42163775e+01 -8.43341029e+00  1.33401041e+01  8.79608909e+00
  1.24860193e+01  1.72142123e-01 -2.52607685e+00 -9.28681865e+00
 -7.14960093e+00 -1.06976152e+01 -5.81044459e-01  3.01860987e+00
  1.14934907e+01  1.01080437e+01  7.44986176e+00  1.21643883e+01
 -6.46048034e-01  1.63774416e+01 -7.98704786e+00 -5.87808259e-01
 -9.44466487e+00 -6.17696164e+00  9.66481205e+00 -2.52849481e+01
  2.28406187e+00  1.78775734e+01 -7.26085812e+00 -1.12787463e+01]",ШАДРИНА_АННА_АЛЕКСАНДРОВНА,60
"[  7.33641325  -0.07292234 -23.53588585 -10.04232821  -8.9780685
  27.978993     0.68907119 -19.15447739   2.4461923   -5.7778796
   5.89130525 -11.78039676  11.68610606  12.68368353   2.64191354
 -20.55415915 -12.84225436 -19.36920234  -0.24446233   2.45212872
 -17.07130869  -7.89359965  -3.0113043   -6.27508793   5.81049064
  -3.39100048  18.50545992  -7.87527137   1.95926383  -9.34253261
  12.06564575  -6.30991508 -15.4740117   -6.65003351   5.57164107
  21.77289225  -1.42686688   6.55660033 -17.45491323  -2.43487947
   3.82880332  -7.11821907  -6.89738351 -17.17080846  14.49445702
  15.83757408  12.30202598 -17.94961028 -11.88941896 -12.88142139
  -3.19668073  10.87103823   7.6363474  -10.80016248  -2.05959552
  -3.86625657   1.56325539   6.14454605   6.81340322  -0.22001848
 -21.85250193   7.10598028   3.90555071  -7.77261628   5.63603188
  18.73191874 -21.39646409   6.62381878  18.27865773  -6.6085262
   7.19281079   9.61704305  13.66189078 -15.09992257   2.3558965
  15.2900105   -5.35995214   4.04494642 -12.79157521  -9.22405682
 -24.06679065   3.09044934  -1.76989383 -10.06050412  -1.159222
  -8.51765419 -15.9735723   -4.23359753  31.90608688  -1.43631657
  -3.51551318 -16.68119552  17.25845445  -3.82772525  -0.73465412
   8.16237199 -12.26364722   2.84824468 -32.16610459  -2.08899337
  -9.25337298  -7.08947219   9.85299158   3.74011282  13.25008373
   1.02578876   6.61882531  -8.0586876   -6.99699166  -5.04624907
  -5.84013249   1.44804069   4.01279198   4.19588719   6.9120858
   7.90037452  -3.72764586  14.58346607  -6.30774178   0.25199418
  -4.94342605  -5.85481929   5.82210882 -23.03367603  -1.95309907
  15.65391527  -5.97483649 -11.31895493]",ЗАБЕЛИНА_МАРИНА_НИКОЛАЕВНА,24
"[ 12.55888352  -4.35532519 -18.96094934 -13.76182471  -5.34643871
  26.78122183   1.23856347 -24.17801813   2.30573879  -6.79229178
   4.35030543 -13.11250306   8.61193355   4.95895087   5.92216267
 -20.30802554 -10.47056217 -15.12979478  -2.16065383  -2.02201516
 -17.32673273  -8.2625801   -6.50930757 -12.29857358   8.03435891
  -2.37937813  21.23341983  -3.54869967   4.41627767  -9.61846884
   5.4495768   -1.62445994 -20.01773618  -5.30385071   3.65810554
  19.92902792  -7.23360946  -0.18736937 -22.77241187  -7.30426474
   0.06054312  -6.69692754  -8.9151793  -19.20446616  11.63413103
  15.52034852  16.72031665 -24.09903843 -19.27461914 -10.35309795
  -4.55151854  15.67784608   4.49457326 -12.4739072   -2.62826751
  -8.3031241   -2.24174151   4.09327032  -0.37590487   1.84956166
 -25.72663904  13.03212983  -1.59310607 -11.55278681   5.79450157
  23.99223397 -28.77683693   8.74840027  16.27804315   0.27065734
   6.43256254   9.26744859  18.48123766 -15.21620926  -0.14057836
  17.3932534   -6.63394075   8.27368276 -14.24970162  -9.4722528
 -20.447641     9.58150731  -7.67015152 -13.14619377  -7.61540082
  -6.02485132 -16.58250158  -6.00368955  34.81970462  -2.10756488
  -7.73563968 -17.28181435  22.56304441   3.49638751   2.02040378
   2.21304292 -12.57936483   4.78575349 -33.95184906  -3.57064558
 -15.63475791  -2.44490566  13.87333793   6.88452443  14.85097806
   1.81475553   1.67996981 -11.49231628  -8.04622959  -5.25802575
  -0.8699033    5.83692824  13.60608525   7.99220128  16.44934184
   0.98670145   2.11522651  16.55002301 -12.32026537  -0.98010298
  -2.06526029  -6.74780038  11.17793129 -22.1262134   -4.88354061
  16.32389233  -2.16460929 -11.06829699]",ЖАЛНИН_ЯРОСЛАВ_ВЛАДИМИРОВИЧ,17
"[ 1.20217015e+01 -7.54685118e-01 -1.90630774e+01 -1.22434514e+01
 -1.00725297e+01  2.80446964e+01  2.38724779e+00 -1.48434912e+01
 -1.11574750e+00 -5.38790222e+00  3.18313157e+00 -1.09731748e+01
  1.24760011e+01  1.69538064e+01  4.07358261e+00 -2.26196828e+01
 -1.84245041e+01 -1.70844572e+01  3.94198938e+00 -3.65465173e+00
 -1.81153810e+01 -9.23762999e+00 -1.09817612e+01 -5.97355367e+00
 -4.18574732e-01 -4.05023109e+00  1.27180413e+01 -7.10382511e+00
  4.04095331e+00 -8.35047723e+00  1.44635671e+01 -6.30858742e+00
 -1.63095837e+01  4.36445679e-02  1.27897167e+00  1.96345931e+01
 -3.47849097e+00  5.10873871e+00 -2.13240257e+01 -5.28687206e+00
  3.44457199e+00 -1.35998528e+00 -2.92400961e+00 -1.63822985e+01
  1.24339104e+01  1.90205724e+01  1.26841770e+01 -2.06512436e+01
 -1.33367036e+01 -1.29389786e+01  2.01496123e+00  1.76928751e+01
  5.50226177e+00 -6.97818381e+00  5.49824955e-01  1.78648971e+00
  3.48124666e+00  2.31136262e+00  6.54314559e+00 -1.03761592e+00
 -1.84370047e+01  1.04655929e+01  4.30231962e+00 -5.83391048e+00
  9.89796511e-01  1.59253011e+01 -2.16474735e+01  1.48026536e+00
  2.25946581e+01 -5.50991386e+00  5.58002766e+00  5.81047503e+00
  1.21163607e+01 -1.03746799e+01  2.50165398e+00  1.56505589e+01
 -1.07194483e+01  2.10057804e+00 -1.69860256e+01 -1.01176845e+01
 -2.72699283e+01  1.56741536e+00 -3.26756115e-01 -1.33522238e+01
 -2.40390365e+00 -6.61880785e+00 -1.38753527e+01  4.06734116e-01
  3.31309424e+01 -5.67353990e-03 -3.08763807e+00 -1.40481790e+01
  1.90574365e+01 -1.66384036e+00 -3.55982280e+00  9.80396336e+00
 -1.20176117e+01 -3.31315116e+00 -3.85291918e+01 -3.12912909e+00
 -1.72952526e+00 -8.31979697e+00  1.05269595e+01  9.92052669e+00
  1.00183549e+01 -2.58820389e+00  2.09815769e+00 -2.82256930e+00
 -5.13502233e+00 -5.92813252e+00 -1.45305368e-01  6.77551069e-01
 -8.24277603e-01  6.09551134e+00  6.54149233e+00  1.04930227e+01
 -3.67725913e+00  1.44691999e+01 -8.45545051e+00 -1.72391742e-01
 -5.39796468e+00 -5.31360323e+00  6.47944030e+00 -2.50678014e+01
  4.32101384e-01  1.66206334e+01 -8.31113502e+00 -1.09189437e+01]",САВИН_МИХАИЛ_ЛЕОНИДОВИЧ_(III),47
"[ 12.38705628  -1.36259884 -26.12367596 -12.35953128 -14.1571318
  31.59297781  -7.13563459 -20.66882797   3.19302743  -8.99538718
  11.19439954 -14.48118316  12.38766158  12.01852499   1.68380919
 -22.01276402 -22.99073407 -22.31824057  -0.9852372   -1.44185655
 -19.07740196 -11.22236813  -4.43315347  -5.90381783   6.09783811
  -1.49989135  19.12367226 -12.14695781   1.39737592 -14.74427178
  11.28081714  -5.5140487  -23.90144235  -2.93010057   5.14964105
  18.47387283  -2.30074256   4.57563422 -21.76679022  -4.17118794
   6.88486264  -6.54009145  -5.13327771 -26.1290452   14.53345263
  15.64658809  13.7526075  -21.75702277 -22.43269857 -18.75750391
  -1.94432364  18.4059156    5.22168309 -13.29378415  -3.44485712
  -4.51365366   2.159527     7.92447562   4.29390005   1.84463335
 -25.85783874  10.92781133   5.28774638  -9.20973604   6.79559026
  22.21866447 -31.28494924   4.68736002  27.09425239  -7.30681211
   8.21154437  10.3684121   15.1345003  -17.57893268   2.27050294
  18.55363148  -6.17076521   3.99527704 -18.01708275 -12.67823449
 -26.42544187   6.09172805  -3.78149785 -12.61653135  -2.93775858
 -11.37571068 -16.06068825  -4.70369805  39.731073     2.0946142
  -4.26010393 -21.90806875  26.63684653  -1.42358876   2.26740291
   8.84786215 -16.10213181   3.72623851 -40.39247553  -6.98088514
 -16.56984776 -10.01505054  12.35637159  10.22748409  13.72513266
  -1.88252624  -0.32187006  -9.32631286  -8.78582935  -7.85184726
  -1.97946674   4.82664213   7.9166462   10.07018179  11.18886677
  11.77693537  -3.9280834   14.01757872 -15.41106824  -0.15036949
  -9.10369795 -11.20022771  10.80551143 -24.48472142  -3.93565773
  18.6092967   -4.95576311 -14.1955393 ]",МАЗУР_ЮЛИЯ_АНДРЕЕВНА,33
"[  5.61541554  -0.81033639 -12.46287582  -5.17707496  -7.86875019
  15.77875327  -4.05610876  -9.70880345   0.84910453  -5.321158
   5.13427192  -9.84134662   5.53961659   7.38259749   1.85474371
 -13.78451099 -12.4653579  -11.55201072   2.62565229  -1.81667195
  -9.64295083  -3.2514456   -1.78565216  -3.98724656  -0.59748262
  -2.29913026   6.42950494  -4.51467066  -0.44931149  -7.21706613
   7.06310133  -1.60586467  -8.38329979  -0.90714374   1.73502987
   9.66620117  -4.17832879  -1.6069593   -8.87732928  -3.82769619
   2.65280957  -0.8396233   -4.26798997 -12.93977528   4.76053739
   7.18194381   7.28925309 -11.76723673 -14.61459836  -6.74512553
   1.24160642   7.61939985   3.85168474  -5.32346176  -0.25727005
  -1.32390929   1.33741743   1.3129464    3.80483872  -1.41609059
 -14.75315266   5.89931078   2.91423191  -2.65326786   1.07585961
  11.11478055 -12.56947048   3.07959674  14.95662129  -4.30684122
   4.07142257   3.00352354   6.8827523   -7.53103437  -0.58935176
  10.74674034  -3.66984509   2.4739534   -5.42961824  -7.39809641
 -14.07702192   1.89526093   1.519073    -6.46897659   1.60586246
  -1.49526276  -6.43796343   0.12094655  20.61663233   1.29870787
  -0.34625612 -10.51246265  11.45058153  -1.77367415  -2.95938161
   3.96928417  -7.93598414  -1.77989233 -22.51666609  -3.36392709
  -6.15080962  -6.12335672   7.67655525   4.5636756    8.30214174
  -4.75378565   0.86592951  -2.93851376  -3.73880102  -4.64094071
   1.81670725   0.18976163   6.29745335   5.50937195   2.26085211
   9.253348    -4.21696597   9.21360369  -6.16853334  -0.66413568
  -1.99268867  -4.68534731   5.29026059 -13.2096244    1.43324106
   8.76242399  -6.34103216 -11.14709943]",ЖАЛЫБИНА_ИРИНА_НИКОЛАЕВНА,18
"[ 13.46601116  -3.33163913 -24.86570715 -15.12866731 -14.73162918
  34.79673371  -4.03863361 -15.53808058   1.40290209  -3.97173038
   8.33075266 -12.84990734  16.20625522  14.30357858   8.55436497
 -23.55525416 -23.36665963 -23.51820429  -2.49555059  -1.15176058
 -22.61815153 -12.94729657  -5.03699783  -2.92685444   4.67404471
   1.39965484  19.53357528 -14.11721604  -2.80788856 -10.02082493
  14.2388975   -1.05305987 -24.61423238  -3.67951356   6.01073423
  21.90526314  -6.19288589   3.48918137 -25.81001622  -6.81199612
   5.95207747  -4.13709055  -2.86786751 -24.7930866   13.89443111
  16.10936215  14.2357597  -25.47912883 -23.76143732 -19.46598817
   0.73045815  26.24396394   4.53438472 -12.39865498  -1.42467328
  -0.47758347   5.7317968    5.87803763   7.42030535  -1.36256174
 -27.67860406  12.708796     6.46428674  -7.91181234   5.88496331
  23.07113582 -30.06847059   4.26675891  23.29114035  -7.0680601
   7.29866985   6.76701771  17.20085377 -15.15576342   1.9300507
  24.36106752  -5.29798986   5.69903071 -16.45144468 -16.41261269
 -30.378575     4.55159555  -0.10002788 -16.07816197  -5.84713833
  -8.45986159 -15.01913726  -3.96996929  42.2851854   -1.70220431
  -6.22165573 -18.98885717  28.49995712  -0.60812243  -0.61859606
  11.9051448  -18.53171119  -0.36362331 -44.06639186  -7.80609942
 -14.25771668  -9.85979741  14.19450449  11.2253092   14.83201803
  -2.12181612  -1.17058287  -8.61873841 -13.24214512  -7.27176135
  -2.58206017   4.11687773   7.9505912   10.08006513  15.83894797
  12.4075119   -2.12778314  15.93893112 -11.97715419   0.48367552
  -7.55015256  -9.1139307    8.66916456 -28.17006196   1.76402927
  17.9147084   -5.07870212 -15.10679185]",ЛЕЙЛА_АББАСОВА,31
"[ 13.96101715  -4.24320376 -27.42771818 -23.01033381  -6.58956337
  30.76035872  -2.6988878  -22.38415055  -1.45236759  -1.64807166
   8.59682482 -11.14862607  12.70032739   9.25959183  13.22137022
 -20.823536   -16.94541938 -22.84630338   0.6807709   -2.1925151
 -18.6659572   -6.98654698  -9.06528964 -10.38135193  10.61682989
   3.54975119  25.63247192  -8.08232839   0.65341968  -7.32171193
  13.3339658    2.26625703 -22.02653905  -8.49719264   3.15806302
  28.01974895 -13.02256021   7.17091872 -32.60840562 -12.85849222
   2.63185262  -4.91675236  -1.54268415 -21.52409294  19.24506452
  19.07133838  17.41502053 -27.43041301 -20.97932337 -15.20311448
  -7.86113185  26.01752842   8.29413043 -17.14702365   8.36479498
  -9.24903858   6.11840991  10.61246382  -0.49736139   3.34117294
 -29.89516175  17.61128221   2.43198459  -7.05364078   4.11017776
  23.45982423 -36.85124267   4.10134865  18.14931558  -5.81907421
   6.92537138  17.38666677  16.77282759 -19.9847166    1.16840236
  26.00574647 -11.58181754   6.31312844 -21.45168196 -16.98248461
 -25.43616112   9.73450173  -6.13994623 -12.33253702  -2.98143884
  -8.90023674 -18.12153332  -1.54967736  39.99164629  -3.51212369
 -10.2693797  -26.45099633  22.42255754  -1.80395783   1.14453109
  11.33691999 -12.19897668   8.1828958  -38.98677345  -6.34058118
 -17.20544158  -7.2359478   12.53014742   7.01085618  17.97594544
   1.31940835   5.07917543 -11.84072478 -14.09590366 -12.67912157
 -11.84319796   8.48878479  12.07678947   3.25318001  14.9874598
   7.98337928  -3.73049641  17.48070443 -15.98298898  -6.65588063
  -8.4046668   -4.60746364  10.4066749  -27.32280833   6.10543548
  15.8818096    1.14361509 -15.89534997]",ЖЕНЯ_ЕВСТИГНЕЕВА_(II),23
"[ 1.23096279e+01  1.97741063e+00 -2.44953998e+01 -3.39277669e+00
 -1.35581822e+01  3.16434975e+01 -5.75864818e+00 -1.74649951e+01
  1.09422538e+00 -1.00536153e+01  1.06022542e+01 -1.39620891e+01
  1.06071372e+01  1.21601216e+01 -3.02954138e+00 -1.52832734e+01
 -2.18009890e+01 -1.98258334e+01  1.39961038e+00  2.01851064e+00
 -1.63851880e+01 -8.59589938e+00 -3.34800026e+00 -1.90497010e+00
  2.80370923e-01 -6.76045442e+00  1.59416142e+01 -7.13556864e+00
  7.72334144e-01 -1.62381567e+01  1.17425378e+01 -7.24539834e+00
 -1.54127798e+01 -2.13442256e+00  5.44725510e+00  1.61059352e+01
  2.34135879e+00  1.83096327e+00 -1.49734170e+01 -8.69117249e-01
  9.75414663e+00 -3.86056682e+00 -7.78298120e+00 -2.24336530e+01
  1.26088834e+01  1.65217998e+01  9.86522849e+00 -1.55998125e+01
 -1.91372456e+01 -1.36925831e+01  1.60715470e+00  9.36155756e+00
  6.36687958e+00 -1.32230270e+01 -9.92489171e+00 -4.30781508e+00
 -1.05576478e+00  1.68400488e+00  6.33281713e+00 -1.05202212e+00
 -2.23695678e+01  5.83418690e+00  7.13938453e+00 -4.22501561e+00
  4.91641485e+00  1.78090559e+01 -2.23272152e+01  7.84395688e+00
  2.57028876e+01 -8.69471768e+00  6.09612760e+00  1.06762444e+01
  1.05242143e+01 -1.76476952e+01  2.36033552e+00  1.16798038e+01
 -7.02968201e+00  1.45088509e+00 -1.29565813e+01 -9.57665496e+00
 -2.34729912e+01  1.03695304e+00 -3.35282837e+00 -8.61947744e+00
 -8.05863103e-02 -1.14281124e+01 -1.00679666e+01 -2.80670496e+00
  3.41193017e+01  3.37292349e+00 -2.25101013e+00 -1.79018686e+01
  2.08396752e+01  3.71273616e+00 -3.17335144e+00  6.28358031e+00
 -1.32654133e+01 -1.91833815e+00 -3.76449623e+01  2.04505647e+00
 -6.52969542e+00 -1.18094162e+01  7.28196858e+00  4.20478468e+00
  7.76653659e+00 -4.07819522e+00 -9.60911620e-01 -1.01082902e+01
 -8.25076365e+00 -6.64232751e+00 -1.97357726e-03 -1.99508049e+00
  5.00728206e+00  5.64558129e+00  5.34146672e+00  1.48654618e+01
 -3.99340717e+00  1.22173710e+01 -7.91565006e+00  3.65648458e-01
 -6.63868263e+00 -6.76357057e+00  5.27557606e+00 -2.01232989e+01
 -3.01116543e+00  1.57777442e+01 -1.13553532e+01 -1.76901027e+01]",РА_КРИСТИНА_КАРЕНОВНА,42
