Embeding,Label,Label_int
"[ 1.38893413e+01 -1.33466610e+00 -2.54463725e+01 -1.01222823e+01
 -1.30273101e+01  3.40386233e+01 -9.67451816e+00 -1.65656892e+01
  2.90997802e-01 -6.40194110e+00  7.45895090e+00 -1.91924460e+01
  1.20110638e+01  1.32333694e+01 -9.84076510e-01 -2.51943469e+01
 -2.43532882e+01 -2.02640652e+01 -3.91987033e-01 -1.07875586e+00
 -2.03972401e+01 -1.03638410e+01 -3.52114139e+00 -5.65529389e+00
 -7.57677833e-01 -1.82291070e+00  1.99988195e+01 -1.32720244e+01
 -4.80294875e-01 -1.41799487e+01  1.26996306e+01 -1.40038856e+00
 -2.34917143e+01 -3.18256242e+00  5.19223376e+00  1.91968612e+01
 -4.15818813e+00 -2.93336093e+00 -2.00525751e+01 -7.91915264e+00
  1.13848438e+01 -4.31809668e+00 -8.44569298e+00 -2.78368195e+01
  1.50342184e+01  1.33709882e+01  1.59391115e+01 -2.18219038e+01
 -2.55483298e+01 -1.83353582e+01  1.27693596e+00  2.01473018e+01
  3.80697358e+00 -1.58477295e+01 -3.10562491e+00 -1.74313789e+00
 -5.79666579e-01  5.08113767e+00  6.95985144e+00 -5.06510210e+00
 -3.25634104e+01  1.07761711e+01  1.01319698e+01 -7.25039425e+00
  2.08001370e+00  2.34706792e+01 -2.88068748e+01  4.29838058e+00
  2.59295457e+01 -5.87805092e+00  9.57768262e+00  6.45395902e+00
  1.20488605e+01 -1.99868913e+01 -6.17384740e-01  1.97359054e+01
 -4.72353756e+00  1.86392397e+00 -1.55675060e+01 -1.47700751e+01
 -2.65833543e+01  5.28625419e+00 -3.81340998e+00 -1.23358364e+01
 -3.22212460e+00 -8.67516607e+00 -1.04585050e+01 -4.03350444e+00
  4.14064932e+01  3.45797991e+00 -4.36465706e+00 -2.16891994e+01
  2.63349877e+01  3.79829175e+00 -9.01835466e-01  6.68867576e+00
 -1.66494465e+01  3.40374532e+00 -4.09890319e+01 -4.03871602e+00
 -1.33417368e+01 -1.22290804e+01  1.41604674e+01  8.24858893e+00
  1.33705626e+01 -3.26749108e+00 -2.42100348e+00 -7.22694720e+00
 -1.09416651e+01 -1.09897221e+01 -1.51437381e-01  1.84640637e-02
  1.03283473e+01  6.63640887e+00  1.13554861e+01  1.38801540e+01
 -8.20306809e+00  1.38555184e+01 -1.76326636e+01 -1.47821725e+00
 -7.57262487e+00 -1.06473898e+01  9.03376321e+00 -2.33671499e+01
 -1.02134528e+00  2.01977839e+01 -7.75941580e+00 -1.65302106e+01]",ЦАРЁВ_ОЛЕГ_ГЕРМАНОВИЧ,87
"[ 10.52017801  -1.00183793 -19.6716769  -13.48907925  -9.36498251
  29.06469321  -6.42197382 -15.23198972  -3.78067188  -4.9031934
   9.29685521  -8.43261408   9.69579647   4.69228114   4.5505008
 -15.59354278 -16.92753377 -19.15741345   0.08764165  -5.36569723
 -15.42642882  -7.15771681  -4.24791222  -7.83387219   7.29754576
   1.1412357   16.83301231  -7.64579232   0.41857311  -9.52623567
   8.131908     2.45068244 -22.75289308  -2.92687407   5.5350066
  20.0008888   -4.72214545   1.68635865 -21.66811171 -10.88053515
   4.50240607  -5.61450665  -3.90753187 -18.62485264  12.19749153
  10.34720188   8.22394238 -23.71213759 -17.62661245 -16.9211223
  -2.09020109  21.70768211   0.0365375  -12.95511309   3.26462251
  -4.33683093   5.11563242   5.15330618   1.52274324   0.55535291
 -25.16471294  14.07834897   4.42221021  -7.06387935   2.12554397
  22.10009078 -24.21961877   3.5905474   15.2679352   -6.46777531
   3.35573486  12.8770464   15.79554269 -11.55651817  -2.16467318
  13.91672217  -9.62632026   5.13141292 -14.54602185 -13.07137514
 -17.60989533   9.82440531  -5.09664155 -11.48368542  -7.13877344
  -7.94649677 -11.0904515   -2.22396274  34.50562347  -3.88059408
  -7.19558707 -16.79114719  23.32874088   1.6263604   -1.59516475
   9.88917077 -12.69433984   3.90475738 -31.9143248   -7.12482463
 -15.8310888   -9.94278756  13.15285074   7.94351836   9.24916464
  -1.37443347  -2.75365764 -11.06891264 -11.63899691  -8.09019909
  -4.21073668   4.75905709  10.74260244   6.49489589  13.94710001
   8.64387512  -1.80092157  12.84590224 -14.44703696  -1.33558661
  -3.21841747  -7.42433474   3.64543052 -18.83274635   3.83097791
  12.32878425  -1.09319982 -16.38296185]",ЕВСЕЕНКО_АНДРЕЙ_ВАСИЛЬЕВИЧ,31
"[ 14.38264265  -1.45779461 -26.31126346 -14.4633932  -12.10206296
  31.05869442  -8.59890895 -18.9167193    0.37223772  -6.10010042
   9.60627511 -12.43071963  12.61012288  13.75453401   4.93418914
 -22.40881057 -20.65309277 -22.44234783   0.63407011  -2.99592526
 -20.76399926  -8.30723773  -5.00579412 -10.55812517   6.26956549
   1.44254257  22.28734279 -13.08141823   3.52430627 -13.84613828
   9.6379446    1.31310757 -25.49779351  -7.71820234   4.46217808
  22.89552333  -4.59104267   2.51247162 -25.79309672 -11.75337229
   6.12272988  -5.173976    -4.08917504 -26.60314758  15.90851906
  13.66888429  14.57471339 -25.46009576 -22.70154417 -16.14883147
   0.23464068  19.63110941   6.20346968 -13.41754925   1.03759548
  -4.66602453   2.60817592   6.38204627   6.64383405  -1.5114708
 -29.40468516  12.74615374   1.95318081  -4.79381557   3.19910084
  25.96575446 -30.01459711   5.80170287  20.24530287  -6.43886546
   7.72228349  15.43356081  14.41908359 -12.79743021  -0.13287088
  17.61312796  -9.64103077   3.40143495 -14.58465057 -13.79195991
 -26.26227593   7.70701033  -2.23943047 -12.94721811  -4.53913561
  -8.25861253 -14.63092459  -2.34938806  39.40360308  -1.69987492
  -7.30703753 -21.85380092  24.26324968   1.55622362  -1.30660893
  11.68298885 -16.95471096   5.46966678 -40.53116671 -11.26309404
 -16.86468787  -9.70207846  16.44286601   9.74881087  14.73563996
  -2.70875087   0.51935113  -9.3611477  -11.07087217 -12.35686705
  -3.9065096    3.79937871  13.15492787  10.43990183  12.03803975
   9.31889168  -6.28152302  16.62307614 -16.17553209   0.46701361
  -5.99991565  -8.8760709    6.06037665 -24.33606668   0.74837226
  16.68129363  -5.33494261 -22.23354295]",ХАБИЕВ_РУСЛАН_РАВИЛЬЕВИЧ,84
"[ 11.22882598  -5.49879205 -18.43449456 -12.49467026  -9.09706581
  20.10706919  -3.21584085 -16.19598732  -0.12087339  -1.30966888
   3.45552288  -7.92001375   9.01793517  10.59223489   6.72407684
 -18.66291929 -15.76063158 -18.8535668    2.38938832  -3.78930653
 -17.09256278  -5.99757869  -6.1846853   -7.05656615   6.03875756
  -0.2137234   20.80922161  -7.82093718   6.57018197  -3.9593606
  10.22871073   0.15760936 -17.4267512   -4.17826066  -1.93604298
  20.93857273  -8.20501089   5.04238841 -20.60964355  -5.85588572
   2.20446613  -1.23197687  -4.28295707 -19.15861017  12.90191574
  13.28664397  13.26885983 -19.67182181 -16.3725176   -7.41366046
  -1.16203936  13.5709731    9.43049293 -10.11750372   2.11563927
  -8.71149183   2.24322391   4.91029422   4.42413747   0.62262982
 -22.14724407  11.93527912  -1.79096098  -5.12594493   3.13315859
  14.47497534 -26.86589157   6.73561335  15.36848737  -2.15674104
   3.37277103   9.62281112   8.22548284 -11.5700467    0.51586201
  18.88798556 -10.6009184    6.93151582 -16.27856164  -8.62162781
 -19.18042078   5.42035527  -4.71082866  -9.18176371  -2.82562146
  -6.08997176 -14.36064687  -0.40439453  27.04341704   2.70785183
  -5.94326294 -18.28054762  19.27851675  -1.987395     2.66605575
   6.9868149  -11.07565559   1.77889014 -29.42072612  -4.41490332
  -7.41771278  -3.80455812   9.5564315    7.62309483  13.16972701
  -0.2073844    4.278732    -6.81715677  -6.92548565 -10.81583488
  -7.66621529   4.0522262   10.62736687   7.77037137  10.50870604
   4.04164146   0.26184316  13.18073104 -10.14135485  -3.39032532
  -8.73965456  -2.74663681   8.29010228 -19.92442449   0.25216411
  12.95741173  -6.73449242 -13.04606205]",Павлов_Олег_Григорьевич_(II),68
"[ 10.3969046   -0.44495262 -19.89606816 -11.65911966  -9.45049993
  21.05036189  -5.98290463 -19.44373874   3.32363417  -4.24077347
   7.04172828 -11.63836095   7.7730088   11.45596185   3.27293205
 -17.10934395 -18.81245498 -18.99751958   3.70283797  -1.89575228
 -12.96280811  -6.95540087  -4.72770748  -6.98374007   5.0287505
  -4.88312383  14.7226493   -7.55519608   3.81465032 -10.39214508
  10.09332263  -5.75141757 -16.06533864  -2.50195429   1.89313718
  19.26568381  -2.79501838   1.43333593 -16.42484226   1.29266196
   5.48298487  -4.53174598  -9.64024098 -18.4105413   15.19357062
  13.79625962   9.90747683 -17.81455925 -15.91704946  -8.47666096
   0.40693619   8.36103567  10.22318121 -12.62572894   2.88523893
  -6.63652684   1.61675354   5.14559711   5.69162804   3.87904837
 -22.67477732  10.35599746   2.91442713  -4.26548541   4.11539639
  13.10875264 -22.31368787   3.80001422  15.04044132  -6.02508035
   8.06115068  10.20508876   9.2576853  -13.3227282    0.3924391
  14.64856207  -8.19020063   4.12519142 -13.1211238   -7.82360041
 -19.25908192   2.00364248  -5.67021826  -7.56759273   0.87817071
  -5.01840378 -13.73358564  -2.31964963  28.38421775   5.2708897
  -3.88001793 -15.8996692   17.83385707  -0.6049324   -4.58708016
   6.27396268 -10.96876168   4.93098542 -29.50892274  -3.7483007
 -10.00951286  -5.84733323   8.10907424   3.12969755  11.84266284
  -2.25892185   1.38626258  -5.01536051  -2.87991127  -9.13920902
  -3.08029483   3.31905792   7.96602639   4.54302908   5.16428979
   7.25300223  -5.57710863  13.05723896 -10.57524847  -3.56202391
  -7.22201462  -4.97073703   7.9789041  -19.81137708   0.40547431
  16.22004873  -8.25931394 -13.87538567]",ЗАБАШТА_ИВАН_СЕРГЕЕВИЧ,43
"[ 11.13405111   1.07219843 -27.43841613 -17.40911845 -10.41344028
  29.80150678  -4.12661046 -20.61670038  -2.22912324  -5.25323793
   8.99592735 -10.20901042  14.57077343   9.27856381   4.74800042
 -19.97627892 -17.23459362 -25.29976273   0.13676646  -2.69591918
 -20.35920181  -7.5990468  -10.13800238  -7.03360443  11.7900304
  -3.39094246  21.32199782  -9.49879978   2.56271848 -12.71368461
  14.87343228  -4.15013826 -23.32246279  -5.54307697   2.49113454
  29.06127002  -4.06677072   8.00396387 -28.81024205 -12.83948893
   6.38904926  -6.27100098  -4.80809228 -22.85277746  21.33690215
  19.46397428  13.94835648 -27.67087202 -20.3374845  -15.76332271
  -4.43725516  19.4427608    6.71345347 -12.72652199   5.27224319
  -8.40009458   8.08347991   9.82638869  -0.09695935   3.97581477
 -26.54041997  13.73705458   5.24548271  -8.25997461   3.70050804
  24.94356739 -31.70918192   6.18936681  17.21885381  -5.1398101
   7.55987222  16.75689791  18.7092841  -17.30320342   0.50038585
  16.58711794 -11.86521057   6.17002028 -23.52161673 -15.03660161
 -26.77546951   8.27739241  -8.69986031 -13.73518052  -2.82170854
 -11.06726283 -16.72046328  -2.8354742   38.79895988  -4.82806257
  -6.38018184 -23.21482587  22.65391155  -2.8452281   -1.24566064
  14.93830149 -15.7937545    3.53432122 -42.12154731  -4.45076247
 -15.80285443  -9.85371836  12.39410413  10.23093955  13.83946513
   1.27359922   3.81477111 -13.46060381 -10.29761697 -11.0867068
 -13.70629743   9.6241664    5.92369215   5.97411712  15.18911148
   8.97970541  -2.98061947  17.06815295 -16.47071026  -1.69666408
  -6.73389485  -9.08839338   8.03675368 -26.28479717   4.23618738
  17.71831609  -0.76986595 -16.04211681]",НАЗАРЕНКО_ГЕОРГИЙ_ИОСИФОВИЧ,55
"[  8.07309916  -3.7136114  -15.86028505  -8.11152867  -6.26027573
  19.88770356   4.27305016 -15.28812466   1.642511    -5.46059966
   4.04788043  -9.01325005   6.78746881   6.93144731   6.8331355
 -15.27046025 -11.52404889 -10.85643439  -2.69529806   1.04763413
 -15.35379178  -4.69229364  -3.40938551  -7.83771901   5.80562238
  -2.03176617  10.28398664  -0.4702668    2.36119407  -6.89328378
   7.00304554  -1.85987108  -9.90641835  -2.48582356   1.66586294
  11.54391413  -5.33412462   3.43920656 -17.08586674  -3.03998195
  -1.51225609  -2.91788207  -5.71864596 -12.11856418   4.92416
  11.43495621  10.91407579 -15.09661985 -14.40716296  -7.18337446
  -3.65984264   8.32382309   3.38415714  -9.34236946  -5.76218365
  -1.7121137    0.54269859   3.41462836   0.55613943   1.69237026
 -12.77698379   9.61354649   0.29548165  -6.16938179   6.90949546
  15.82967855 -20.95612879   6.40676585  16.97284474  -5.07988557
   3.20158985   5.76165198  12.34650711 -10.80465131   2.36165119
  14.67648104  -4.35903295   6.79604062 -10.4715792   -7.2337891
 -16.57275707   3.80607261  -1.68115148 -12.35362527  -5.44307683
  -7.43239318 -12.09435015  -1.64949871  25.00166985   0.48226977
  -3.78474002 -15.74498141  14.74990391  -4.41596131   3.99060924
   4.27059003  -6.57232489   0.05373267 -25.86587776  -0.50575809
 -11.93985322  -3.21123215   9.60168579   4.58805221  13.03743289
   0.66242167   2.86172014  -9.85483534  -4.76167241  -6.26258329
   1.15276522   3.30911155   7.17647693   4.40169677   7.57729627
   7.17266713   0.68436312  10.95930745  -5.71936859   0.2292209
  -0.3550516   -4.23643893   9.85119379 -17.37932438  -5.37530075
  11.83081726  -3.60796227  -6.74564916]",МАГАЛЯН_ЭДУАРД_СЕРГЕЕВИЧ,50
"[  8.67977442  -1.10943728 -14.18851297  -5.79786176  -4.35808424
  16.59980644   0.38042628 -15.51781855   0.64351896  -5.09699721
   6.51293372  -7.36632393   5.52040068   6.25391111   3.76355997
 -11.47102653  -8.1390551  -13.75968058  -0.72036658   0.7796082
 -10.53396841  -6.06307521  -4.15821692  -5.0699339    3.92327296
  -3.18980734  14.62189986  -2.23099406   5.69576799  -9.70305821
   4.10125454  -0.47719121 -13.71878518  -4.46833648   2.43110192
  16.5922086   -0.57587237   4.27285    -16.5989943   -2.17864554
   1.91531271  -3.49783748  -3.15248657 -12.24623298   9.95168184
  12.87749798   7.52705739 -15.68660104  -8.69623391  -5.61720419
  -2.20131459   8.14272975   3.66619593  -8.24767645  -1.24796264
  -7.65430205   0.02972017   0.13874961   2.40975315   1.15579779
 -17.68112368   8.52111035  -2.9251977   -3.03076876   3.67540528
  14.39737308 -17.01963938   6.10134337  10.31483813  -1.1109958
   3.03261542  10.77336261   8.59575502  -8.14150054   0.60965312
  11.47806294  -6.5336608    5.08638766 -10.40356162  -6.33984616
 -13.57375683   4.32501952  -2.63192694  -6.5123832   -3.99821433
  -6.44935533 -14.25668649  -4.21270181  21.32507607   0.69735501
  -3.23679907 -13.37736073  13.73990525  -0.55205455  -1.96446354
   5.07872963  -6.81176663   2.26237851 -21.48371864  -1.92515833
  -6.31455688  -4.7188228    7.98448223   3.0562853   11.19573257
  -1.95776283   3.46156259  -6.78884413  -3.08803386  -6.28294968
  -4.57476435   1.38403526   7.96076866   4.08354319   7.32160561
   4.05174126   0.29042267  11.08654058  -5.0726261   -1.49222532
  -3.16367922  -1.63046733   1.54066232 -13.42521883   0.89404816
  10.18727889  -5.86270891  -9.27009002]",КОНСТАНТИН_ФАДЕЕВ,49
"[ 1.02901712e+01 -2.45178541e+00 -1.84336778e+01 -1.38610868e+01
 -1.00243943e+01  2.80043683e+01 -3.48101792e+00 -1.86378387e+01
 -1.95442513e+00 -2.33697638e+00  8.05498626e+00 -1.24777538e+01
  1.10911387e+01  9.23199758e+00  4.97975117e+00 -1.97769497e+01
 -1.77168357e+01 -1.91672038e+01  1.26268328e+00 -2.05241135e+00
 -1.76525003e+01 -5.84480819e+00 -6.25736768e+00 -4.03065347e+00
  6.05086872e+00  1.73611631e+00  1.36209419e+01 -1.01440460e+01
  7.77091615e-01 -8.50085428e+00  1.35726974e+01 -3.03292081e+00
 -1.77663050e+01 -4.08771945e+00  3.15408248e+00  1.89122328e+01
 -4.47537658e+00  2.29625078e+00 -1.70102163e+01 -8.89691275e+00
  6.63516450e+00 -3.17585702e+00 -4.44385939e+00 -1.71912766e+01
  1.41451489e+01  1.47654707e+01  1.31121842e+01 -2.12178743e+01
 -1.81226278e+01 -1.55100261e+01 -1.60450576e+00  2.04924655e+01
  3.87617369e+00 -8.54730258e+00  1.42644129e+00 -1.32198523e+00
  5.01285629e+00  7.49780530e+00  5.64091209e+00  2.52779158e-03
 -2.16807431e+01  1.06913385e+01  7.09903083e+00 -7.66658338e+00
  5.44941820e+00  1.96275737e+01 -2.30895045e+01  5.33160542e+00
  2.03842936e+01 -4.19826258e+00  7.27135214e+00  8.57898588e+00
  1.44821221e+01 -1.19061849e+01  2.07931943e+00  1.87721502e+01
 -8.17753624e+00  2.26194968e+00 -1.33925205e+01 -1.47373490e+01
 -2.30278525e+01  6.56530818e+00 -1.27951211e+00 -1.14071929e+01
 -4.71043877e+00 -7.14114822e+00 -1.16938813e+01 -8.95433515e-01
  3.33544997e+01 -2.33961876e+00 -4.41952447e+00 -1.74505060e+01
  2.19610446e+01 -1.39919534e+00 -3.55556306e+00  9.04359028e+00
 -1.43195909e+01 -7.73024834e-01 -3.64405505e+01 -3.78626038e+00
 -9.33828285e+00 -6.75037489e+00  1.12402951e+01  7.47130560e+00
  1.38593558e+01 -5.08668651e-01  3.07268259e+00 -6.43063567e+00
 -8.63276693e+00 -7.46492906e+00 -6.77714683e+00  5.53205215e+00
  3.59269368e+00  5.46138869e+00  1.13422953e+01  7.46658806e+00
 -4.51348848e+00  1.47541944e+01 -1.03945006e+01  7.08828469e-01
 -3.37604344e+00 -6.51805069e+00  6.09897798e+00 -2.16033536e+01
 -2.41344148e-01  1.57212342e+01 -5.14154394e+00 -1.49993949e+01]",ЕВСЕЕВ_СЕРГЕЙ_ГЕОРГИЕВИЧ,30
"[ 9.19015981e+00 -1.13949014e+00 -1.58762666e+01 -1.21101373e+01
 -5.49814977e+00  2.09968035e+01  3.61272248e-01 -1.99836724e+01
  4.18738965e+00 -6.08778963e+00  9.28326864e+00 -1.49908546e+01
  8.13912539e+00  7.18204961e+00  6.24204425e+00 -1.89566217e+01
 -9.03836766e+00 -1.53022809e+01 -5.36794696e+00  3.13830964e+00
 -1.59294364e+01 -7.37236013e+00 -3.21605405e+00 -9.84291266e+00
  3.76160264e+00 -2.16239412e+00  1.59799817e+01 -6.67427950e+00
  3.55862145e+00 -9.18445381e+00  3.79305904e+00 -5.70559716e-01
 -1.45915078e+01 -3.96136473e+00  8.88923437e+00  1.34434644e+01
 -2.40384808e+00 -3.41921833e+00 -1.55539662e+01 -5.64419699e+00
  3.89188610e+00 -4.41236982e+00 -6.57745034e+00 -1.67385040e+01
  1.13473580e+01  7.35917470e+00  1.19372353e+01 -1.35744782e+01
 -1.40192419e+01 -1.28325897e+01 -3.59787890e-01  1.27192336e+01
  1.00990629e+00 -1.19734314e+01 -7.05440619e-01 -2.60513390e+00
 -2.40653398e+00  4.62392082e-01  3.19854576e+00  4.29012420e-01
 -2.29881850e+01  1.11516381e+01  3.94744004e+00 -6.58381231e+00
  5.37703100e+00  1.96318499e+01 -2.16449262e+01  3.07090437e+00
  1.49042366e+01 -1.99526070e+00  7.10647800e+00  8.07163445e+00
  1.36127768e+01 -1.30080772e+01  6.49240139e-01  1.75599179e+01
 -5.00654326e+00  2.30577929e+00 -5.12991656e+00 -8.55951269e+00
 -1.60941615e+01  3.21905515e+00 -4.07966712e+00 -1.07636245e+01
 -4.19546607e+00 -4.32445067e+00 -1.10278128e+01 -1.15037099e+01
  3.34021805e+01 -1.81281204e-02 -5.85478378e+00 -1.30045335e+01
  2.09861663e+01  3.77621712e+00 -3.04318002e+00  9.28877275e-01
 -8.39951226e+00  5.93703138e+00 -2.53381815e+01 -5.43998185e+00
 -1.42343564e+01 -5.66977399e+00  1.11021613e+01  4.90888081e+00
  1.45344913e+01  3.46136914e+00 -5.79131514e-02 -7.37612201e+00
 -9.43499946e+00 -5.37192223e+00 -4.25021157e-01  1.04747317e+00
  1.15890976e+01  3.16655987e+00  1.53140463e+01  6.51335402e+00
 -4.89728996e+00  1.17085379e+01 -1.14200331e+01  3.67003915e+00
 -1.28140574e+00 -5.78142929e+00  4.64715064e+00 -2.04025678e+01
 -1.02224117e+00  1.81240475e+01  1.06060510e+00 -1.05489570e+01]",РАВИКОВИЧ_АНАТОЛИЙ_ЮРЬЕВИЧ,69
